Pair,ID,type,theta,r,v,L,M,P
1A,,-2,2.88,152.2,57,6.83,11.62,0.99
1B,,-5,,,,10.24,,
2A,,7,1.25,11.1,134,1.82,4.68,0.99
2B,,5,,,,0.09,,
3A,,5,0.89,43.1,43,7.48,1.84,0.99
3B,,5,,,,4.55,,
4A,,1,0.62,19.6,402,2.65,73.74,0.88
4B,,-5,,,,3.1,,
5A,,3,9.03,81.8,130,1.01,32.36,0.99
5B,,4,,,,13.01,,
6A,,3,8.2,118.8,179,3.45,88.29,0.99
6B,,7,,,,0.99,,
7A,,7,0.56,11.5,35,1.34,0.32,0.99
7B,,-2,,,,2.75,,
8A,,-2,1.6,54.5,56,2.27,3.98,0.99
8B,,5,,,,8.95,,
9A,,5,1.78,62.1,154,3.61,34.27,0.88
9B,,1,,,,6.28,,
10A,,5,17.83,190.7,537,0.36,1291.66,0.88
10B,,3,,,,4.52,,
11A,,4,2.63,86.8,738,3.5,1107.5,0.99
11B,,1,,,,12.07,,
12A,,-2,3.48,25.2,81,0.27,3.81,0.99
12B,,4,,,,10.45,,
13A,,4,2.08,50.8,18,1.67,0.37,0.99
13B,,2,,,,6.48,,
14A,,4,1.6,38.1,86,9.9,6.54,0.99
14B,,5,,,,1.51,,
15A,,5,3.9,40.9,93,2.59,8.31,0.99
15B,,8,,,,0.29,,
16A,,-2,1.21,32.1,128,2.42,12.26,0.99
16B,,-5,,,,6.99,,
17A,,5,2.13,49.6,262,4.7,79.5,0.88
17B,,1,,,,2.71,,
18A,,5,2.79,149.4,5818,2.65,...,0.15
18B,,5,,,,10.93,,
19A,,9,32.79,182.5,42,0.12,7.43,0.99
19B,,5,,,,0.3,,
20A,,-2,17.18,46.8,28,1.97,0.85,0.99
20B,,-5,,,,0.04,,
21A,,5,8.97,178.4,127,0.8,66.52,0.99
21B,,5,,,,9.5,,
22A,,5,4.68,181.6,3724,2.7,...,0.15
22B,,-2,,,,2.73,,
23A,,5,3.788,163.7,6517,7.45,...,0.15
23B,,5,,,,0.98,,
24A,,5,10.8,54.6,83,1.54,8.75,0.99
24B,,5,,,,0.63,,
25A,,-5,3.82,34,67,0.74,3.51,0.99
25B,,-2,,,,1.26,,
26A,,5,2.23,74.3,85,6.95,12.61,0.99
26B,,3,,,,6.28,,
27A,,3,1.59,54.1,385,4.88,187.61,0.88
27B,,-2,,,,4.45,,
28A,,-2,5.22,151.8,21,4.74,1.51,0.99
28B,,5,,,,3.76,,
29A,,4,2.45,59.9,75,1.46,7.83,0.99
29B,,-2,,,,2.23,,
30A,,5,1.35,52.2,40,11.33,1.95,0.99
30B,,3,,,,9.87,,
31A,,4,2.33,34.2,145,3.54,16.71,0.99
31B,,4,,,,6.1,,
32A,,1,1.82,76.5,112,4.73,22.45,0.99
32B,,5,,,,4.91,,
33A,,2,3.73,38.1,12,3.01,0.13,0.99
33B,,-2,,,,1.05,,
34A,,5,4.08,59.8,28,3.67,1.07,0.99
34B,,5,,,,2.86,,
35A,,-5,4.83,51.7,214,3.33,54.98,0.88
35B,,-5,,,,0.24,,
36A,,4,49.05,776.4,2509,10.09,...,0.15
36B,,7,,,,0.95,,
37A,,6,9.9,156.7,2,4.16,0.01,0.99
37B,,5,,,,2.68,,
38A,,5,6.95,163,55,3.2,11.59,0.99
38B,,5,,,,2.43,,
39A,,1,7,166.7,55,3.18,11.84,0.99
39B,,-2,,,,1.68,,
40A,,5,25.15,1025.8,6991,1.64,...,0.15
40B,,5,,,,5.6,,
41A,,1,4.13,181.6,28,6.71,3.38,0.99
41B,,5,,,,6.18,,
42A,,5,6.12,104.8,165,4.02,66.84,0.99
42B,,1,,,,3.98,,
43A,,5,1.72,38.3,35,2.42,1.07,0.99
43B,,5,,,,1.57,,
44A,,-2,1.6,32.3,303,3.14,69.34,0.88
44B,,-2,,,,3.5,,
45A,,-5,18.28,173.4,19,5,1.44,0.99
45B,,5,,,,2.08,,
46A,,5,1.79,31.3,136,3.21,13.41,0.99
46B,,6,,,,1.38,,
47A,,1,1.5,27,24,1.34,0.36,0.99
47B,,6,,,,1.34,,
48A,,1,1.23,73.2,410,12.98,286.7,0.88
48B,,1,,,,20.2,,
