Pair,type1,type2,theta,r,v,L1,L2,M,P,sigma1,sigma2
1,-2,-5,2.88,152.2,57,6.83,10.24,11.62,0.99,23,...
2,7,5,1.25,11.1,134,1.82,0.09,4.68,0.99,...,15
3,5,5,0.89,43.1,43,7.48,4.55,1.84,0.99,...,...
4,1,-5,0.62,19.6,402,2.65,3.1,73.74,0.88,...,...
5,3,4,9.03,81.8,130,1.01,13.01,32.36,0.99,4,5
6,3,7,8.2,118.8,179,3.45,0.99,88.29,0.99,...,...
7,7,-2,0.56,11.5,35,1.34,2.75,0.32,0.99,...,...
8,-2,5,1.6,54.5,56,2.27,8.95,3.98,0.99,...,7
9,5,1,1.78,62.1,154,3.61,6.28,34.27,0.88,8,18
10,5,3,17.83,190.7,537,0.36,4.52,1291.66,0.88,...,...
11,4,1,2.63,86.8,738,3.5,12.07,1107.5,0.99,...,25
12,-2,4,3.48,25.2,81,0.27,10.45,3.81,0.99,23,18
13,4,2,2.08,50.8,18,1.67,6.48,0.37,0.99,6,4
14,4,5,1.6,38.1,86,9.9,1.51,6.54,0.99,12,8
15,5,8,3.9,40.9,93,2.59,0.29,8.31,0.99,8,...
16,-2,-5,1.21,32.1,128,2.42,6.99,12.26,0.99,2,...
17,5,1,2.13,49.6,262,4.7,2.71,79.5,0.88,5,...
18,5,5,2.79,149.4,5818,2.65,10.93,...,0.15,4,15
19,9,5,32.79,182.5,42,0.12,0.3,7.43,0.99,2,2
20,-2,-5,17.18,46.8,28,1.97,0.04,0.85,0.99,11,12
21,5,5,8.97,178.4,127,0.8,9.5,66.52,0.99,...,4
22,5,-2,4.68,181.6,3724,2.7,2.73,...,0.15,5,...
23,5,5,3.788,163.7,6517,7.45,0.98,...,0.15,12,4
24,5,5,10.8,54.6,83,1.54,0.63,8.75,0.99,...,...
25,-5,-2,3.82,34,67,0.74,1.26,3.51,0.99,...,...
26,5,3,2.23,74.3,85,6.95,6.28,12.61,0.99,27,...
27,3,-2,1.59,54.1,385,4.88,4.45,187.61,0.88,2,...
28,-2,5,5.22,151.8,21,4.74,3.76,1.51,0.99,...,...
29,4,-2,2.45,59.9,75,1.46,2.23,7.83,0.99,1,...
30,5,3,1.35,52.2,40,11.33,9.87,1.95,0.99,9,1
31,4,4,2.33,34.2,145,3.54,6.1,16.71,0.99,...,4
32,1,5,1.82,76.5,112,4.73,4.91,22.45,0.99,...,8
33,2,-2,3.73,38.1,12,3.01,1.05,0.13,0.99,15,...
34,5,5,4.08,59.8,28,3.67,2.86,1.07,0.99,4,5
35,-5,-5,4.83,51.7,214,3.33,0.24,54.98,0.88,...,9
36,4,7,49.05,776.4,2509,10.09,0.95,...,0.15,10,7
37,6,5,9.9,156.7,2,4.16,2.68,0.01,0.99,11,26
38,5,5,6.95,163,55,3.2,2.43,11.59,0.99,9,2
39,1,-2,7,166.7,55,3.18,1.68,11.84,0.99,5,14
40,5,5,25.15,1025.8,6991,1.64,5.6,...,0.15,16,...
41,1,5,4.13,181.6,28,6.71,6.18,3.38,0.99,...,5
42,5,1,6.12,104.8,165,4.02,3.98,66.84,0.99,1,2
43,5,5,1.72,38.3,35,2.42,1.57,1.07,0.99,...,...
44,-2,-2,1.6,32.3,303,3.14,3.5,69.34,0.88,...,...
45,-5,5,18.28,173.4,19,5,2.08,1.44,0.99,14,4
46,5,6,1.79,31.3,136,3.21,1.38,13.41,0.99,...,...
47,1,6,1.5,27,24,1.34,1.34,0.36,0.99,...,2
48,1,1,1.23,73.2,410,12.98,20.2,286.7,0.88,...,2
