sample,orbits,q,ML,f,lo1,hi1,lo2,hi2,honma,DF,weight
I  (57 pairs),iso,0.0,31.76229890185874,0.8799999999999999,26.160106762657655,40.48111339084761,22.617010508459774,46.822733171553075,35 +7-5   f=0.88,bound,unit
I  (57 pairs),iso,1.8,34.99839565876215,0.77,28.825425067118587,46.822733171553075,24.92134101625541,54.15780738259367,36 +8-4   f=0.71,bound,unit
I  (57 pairs),circ,0.0,27.46044787025168,0.8700000000000001,24.92134101625541,30.258251221029802,23.74123483834735,33.341108319897195,28 +5-3   f=0.88,bound,unit
I  (57 pairs),circ,1.8,28.825425067118587,0.73,26.160106762657655,31.76229890185874,24.92134101625541,34.99839565876215,30 +6-3   f=0.73,bound,unit
III (30 spirals),iso,0.0,14.615788944363048,0.96,11.467843106368209,18.627852202437193,9.914650975978969,22.617010508459774,15 +5-3   f=0.95,bound,unit
III (30 spirals),iso,1.8,14.615788944363048,0.8999999999999999,11.467843106368209,19.553787336600774,9.914650975978969,23.74123483834735,16 +4-4   f=0.84,bound,unit
III (30 spirals),circ,0.0,10.924803609084414,0.95,9.445160154400659,12.636242471913615,8.997901243161943,14.615788944363048,12 +4-3   f=0.95,bound,unit
III (30 spirals),circ,1.8,10.407478790042633,0.8700000000000001,9.445160154400659,12.636242471913615,8.571821489334251,14.615788944363048,12 +3-3   f=0.86,bound,unit
I  radial beta=1,radial,0.0,49.15015198774035,0.8899999999999999,38.56420161752147,65.75571275613845,33.341108319897195,79.83731190449674,42 +34-7,bound,unit
I  Rp<100 (27),iso,0.0,23.74123483834735,0.99,19.553787336600774,31.76229890185874,17.745763094514963,36.738061822506246,36 +10-5,bound,unit
I  100-200 (12),iso,0.0,36.738061822506246,0.8899999999999999,23.74123483834735,56.84983092346362,18.627852202437193,79.83731190449674,37 +31-17,bound,unit
I  >200 (18),iso,0.0,38.56420161752147,0.59,19.553787336600774,76.05675671909906,13.264352505287405,112.11988265571357,25 +29-13,bound,unit
