name1,name2,type1,type2,v1,v2,e_v1,e_v2,B1,B2,L10,vbar,Rp,Vp,MLp,Rp_recomputed,Vp_recomputed,sigma_Vp
UGC 09979,UGC 09977,IBm,Sc,1964,1912,4,7,14.1,12.3,3.2851451841544885,1920.3225638789927,112.3,34.6,3.1,113.61014291160168,34.97989389326675,5.423402318762518
IC 5039,IC 5041,Sbc,Sd,2702,2720,9,1,12.2,12.5,10.594600999148597,2709.764454946094,71.0,8.2,0.11,71.16635797664566,8.195541175904845,4.122987875737889
ESO 467-G051,NGC 7259,Sdm,Sb,1795,1718,10,37,13.1,13.8,1.7079857121497108,1768.4981789552544,24.0,63.7,2.3,24.23217602212952,64.41633039286131,32.063885828787186
NGC 7185,NGC 7188,S0,SBbc,1838,1767,27,40,13.1,13.5,1.9827956031115765,1808.966367338361,100.9,56.6,7.5,100.78657027556191,56.51525606154672,38.414226716659584
NGC 6460,NGC 6458,Scd,S0,3348,3200,10,57,12.9,13.8,6.748304502621131,3303.0270580235806,52.7,79.1,7.6,52.2404512602928,78.31834323859833,30.623819062145056
NGC 5798,NGC 5789,Im,Sdm,1788,1805,5,5,13.5,14.0,1.3014474328717902,1794.5766740573965,200.0,15.5,1.1,200.240125894247,15.57064886546804,6.476536117792397
NGC 6484,UGC 11029,Sb,SBd,3114,3146,6,8,12.7,13.9,6.716384942278956,3121.9602946069217,271.0,16.9,1.8,271.73121752996616,16.960479197665705,5.300149749270534
NGC 6429,NGC 6427,SBa,S0,3366,3230,36,30,13.3,14.0,5.004257422350912,3319.1915888040858,119.3,79.4,17.4,119.44772538552795,79.51072150009654,27.396996477672054
NGC 7444,NGC 7443,SB0,SB0,3167,3474,62,62,13.7,13.4,5.334864636557817,3341.572907308286,17.6,175.0,12.5,17.61637000791328,175.69682252158566,50.18018050522761
"ARP 314, NED 01","ARP 314, NED 02",Sbc,SBcd,3637,3673,0,0,13.3,13.5,7.283015927020523,3653.3468107799026,21.4,18.6,0.17,21.37807375446288,18.572288195013837,0.0
NGC 7723,NGC 7727,SBb,Sa,1875,1814,8,17,11.6,11.2,11.791095428087164,1838.9443886247884,200.0,27.0,3.4,199.63239095421287,26.800637026676373,8.254725474697146
NGC 5899,NGC 5900,Sc,Sb,2562,2511,5,8,11.8,14.0,8.769636676869526,2556.0599426908784,69.2,24.6,0.97,69.53277489417117,24.731073931795393,4.574754604863816
NGC 7576,NGC 7585,S0,S0,3574,3447,20,14,13.6,12.2,12.632232772827383,3474.4251821462476,95.4,54.8,6.6,94.75573608433261,54.53102751017671,10.482457009229552
NGC 7537,NGC 7541,Sbc,SBbc,2674,2678,4,7,12.7,11.6,13.926956470686887,2676.9345348096554,19.7,1.7,0.001,19.732980965495454,1.6625495023306407,3.350975651773776
