name,leda_name,l,b,B_supp,source,honma_B
NGC 6429,NGC6429,49.76714,25.35371,13.529,leda_btc,13.3
NGC 6427,NGC6427,49.87848,25.49857,14.179,leda_btc,14.0
NGC 7443,NGC7443,56.22543,-60.29534,13.627,leda_btc,13.4
UGCA 154,PGC026188,163.82956,42.87053,14.485,leda_btc,14.6
NGC 1266,NGC1266,183.66838,-47.50742,13.927,leda_btc,13.7
MCG-03-08-057,PGC011367,198.76815,-57.99054,12.98,leda_btc,12.6
MCG-02-25-013,PGC027810,245.46762,31.24506,12.859,leda_btc,13.8
NGC 2979,NGC2979,245.82774,30.93178,13.6,honma_table (no B in HyperLEDA),13.6
ESO 512-G018,ESO512-018,333.13739,31.75155,12.542,leda_btc,12.5
ESO 512-G019,ESO512-019,333.14231,31.74347,12.479,leda_btc,12.4
IC 4888,IC4888,343.40302,-29.37685,14.391,leda_btc,14.5
MCG-01-38-014,PGC053568,349.89844,43.88032,14.291,leda_btc,12.6
NGC 5916,NGC5916,349.85816,35.67444,12.326,leda_btc,13.2
